Prop	CNV Event	Precision	Recall
0.01	-2 Deletion	1.000000	1.000000
0.05	-2 Deletion	1.000000	0.999971
0.10	-2 Deletion	1.000000	1.000000
0.15	-2 Deletion	1.000000	0.999981
0.20	-2 Deletion	1.000000	0.999869
0.01	-1 Deletion	1.000000	0.999150
0.05	-1 Deletion	0.999660	0.999816
0.10	-1 Deletion	0.999827	0.999704
0.15	-1 Deletion	0.999827	0.999690
0.20	-1 Deletion	0.999825	0.999590
0.01	+2 Duplication	0.999167	0.999453
0.05	+2 Duplication	1.000000	0.999537
0.10	+2 Duplication	0.999924	0.999318
0.15	+2 Duplication	1.000000	0.998943
0.20	+2 Duplication	1.000000	0.999069
0.01	+1 Duplication	0.999150	0.999256
0.05	+1 Duplication	0.999661	0.998442
0.10	+1 Duplication	0.999379	0.997966
0.15	+1 Duplication	0.999898	0.997393
0.20	+1 Duplication	0.999493	0.996987
