Prop	CNV Event	Gene Type	Concordance
0.01	Deletion	2-copy	0.999419
0.05	Deletion	2-copy	0.999082
0.10	Deletion	2-copy	0.998884
0.15	Deletion	2-copy	0.998548
0.20	Deletion	2-copy	0.998567
0.01	Deletion	3-copy	0.996992
0.05	Deletion	3-copy	0.996942
0.10	Deletion	3-copy	0.996743
0.15	Deletion	3-copy	0.996348
0.20	Deletion	3-copy	0.994994
0.01	Duplication	2-copy	0.999323
0.05	Duplication	2-copy	0.999034
0.10	Duplication	2-copy	0.998730
0.15	Duplication	2-copy	0.998057
0.20	Duplication	2-copy	0.997510
0.01	Duplication	3-copy	0.996608
0.05	Duplication	3-copy	0.996460
0.10	Duplication	3-copy	0.995158
0.15	Duplication	3-copy	0.992618
0.20	Duplication	3-copy	0.990116
