name	center	alpha_beta	num_gene	fully_nocall	concordance	lowq_rate	mean_rc	median_rc	refset_size
HG00096	WUGSC	276.59	105	71	0.9394	0.684	240.679	215.000	9
HG00097	BCM	4455.79	106	10	0.9955	0.099	72.907	64.000	12
HG00099	BCM	8306.37	106	1	1.0000	0.010	100.755	88.344	20
HG00100	BI	17363.30	105	1	0.9900	0.010	125.608	108.092	13
HG00101	WUGSC	22269.88	105	0	1.0000	0.000	140.246	123.000	19
HG00102	WUGSC	6439.17	105	8	1.0000	0.083	114.167	100.000	9
HG00103	WUGSC	9470.20	105	4	0.9994	0.042	118.591	104.000	12
HG00105	BCM	5194.63	106	4	1.0000	0.043	76.684	66.462	10
HG00106	BCM	8839.15	106	3	1.0000	0.031	81.314	71.000	16
HG00107	WUGSC	4782.79	105	5	1.0000	0.048	120.485	106.000	11
HG00108	BGI	22084.89	100	1	1.0000	0.015	196.772	174.627	15
HG00109	BGI	18769.18	100	3	0.9994	0.031	194.037	169.800	17
HG00110	BGI	25218.19	100	1	0.9974	0.010	189.260	169.315	17
HG00111	BGI	14501.39	100	1	0.9921	0.015	155.174	139.797	16
HG00112	BCM	10730.82	106	0	0.9983	0.002	83.105	72.000	12
HG00113	BGI	17883.26	100	1	0.9887	0.013	152.138	137.953	15
HG00114	WUGSC	15073.34	105	3	0.9945	0.029	121.649	106.995	17
HG00115	BCM	10807.72	106	1	0.9881	0.012	82.655	72.632	15
HG00116	BI	12342.78	105	0	0.9903	0.003	158.051	135.000	17
HG00117	BI	4651.14	105	19	0.9639	0.191	96.329	81.724	12
HG00118	BCM	6186.92	106	3	0.9900	0.033	91.032	80.497	18
HG00119	BI	12742.65	105	2	0.9600	0.024	107.741	91.532	14
HG00120	BI	13424.60	105	1	0.9901	0.010	112.971	96.000	14
HG00121	BGI	27794.60	100	2	0.9981	0.021	153.627	139.000	17
HG00122	BCM	11958.72	106	0	1.0000	0.000	76.923	67.912	15
HG00123	BI	15499.87	105	0	0.9802	0.000	126.087	107.000	13
HG00125	BGI	26596.73	100	0	1.0000	0.010	147.913	132.597	14
HG00126	BCM	8053.09	106	4	1.0000	0.039	87.552	77.000	12
HG00127	WUGSC	21641.41	105	5	1.0000	0.051	113.396	99.000	16
HG00128	BCM	7152.91	106	0	0.9905	0.002	115.270	101.617	22
HG00129	BCM	13030.69	106	0	0.9985	0.000	87.939	77.000	16
HG00130	BCM	2608.15	106	5	0.9898	0.051	88.286	77.000	11
HG00131	BI	11730.51	105	0	0.9878	0.001	160.053	138.947	19
HG00132	BCM	2282.03	106	5	0.9898	0.055	81.788	70.000	14
HG00133	BI	18878.86	105	1	0.9885	0.012	139.109	120.000	17
HG00136	BGI	19872.96	100	0	0.9955	0.000	198.454	176.703	18
HG00137	BGI	16573.37	100	1	1.0000	0.010	144.205	129.000	13
HG00138	BGI	26026.98	100	1	1.0000	0.012	150.963	135.565	14
HG00139	BGI	18966.37	100	1	0.9981	0.010	195.877	176.424	18
HG00140	BGI	23218.03	100	3	1.0000	0.034	156.544	141.639	16
HG00141	BCM	2819.88	106	11	0.9979	0.105	82.583	72.000	18
HG00142	BCM	1595.48	106	9	1.0000	0.098	107.159	93.333	14
HG00143	BCM	14349.26	106	1	1.0000	0.011	95.994	84.651	20
HG00145	BI	10789.71	105	1	0.9903	0.010	165.512	141.000	19
HG00146	BI	4312.96	105	6	0.9562	0.060	158.229	136.976	5
HG00148	BCM	3216.47	106	9	1.0000	0.088	86.357	74.852	11
HG00149	BCM	13993.23	106	0	0.9981	0.000	75.963	66.475	15
HG00150	BCM	6734.72	106	2	0.9934	0.021	81.116	71.000	18
HG00151	BCM	1594.96	106	18	0.9330	0.186	72.781	64.000	7
HG00154	BGI	16022.44	100	1	0.9931	0.010	186.398	165.177	16
HG00155	BI	6957.20	105	4	0.9600	0.039	170.548	148.000	5
HG00157	BI	2745.06	105	14	0.9749	0.139	140.734	120.000	10
HG00158	BI	19873.91	105	0	0.9760	0.000	122.309	103.900	16
HG00159	BI	10652.12	105	3	0.9806	0.033	104.519	89.000	13
HG00160	BI	19870.39	105	2	0.9800	0.020	112.338	95.000	18
HG00171	BGI	18198.99	100	0	0.9994	0.000	191.786	169.000	18
HG00173	BCM	11176.06	106	2	0.9862	0.020	85.551	75.000	18
HG00174	BGI	22587.65	100	0	0.9975	0.003	189.319	166.875	17
HG00176	BI	9282.22	105	3	0.9730	0.034	151.257	127.792	14
HG00177	BCM	4236.73	106	1	0.9980	0.010	88.180	77.438	7
HG00178	WUGSC	17696.96	105	3	1.0000	0.029	121.633	107.000	16
HG00179	BCM	1070.52	106	23	0.9241	0.237	91.069	79.000	5
HG00180	BCM	14490.39	106	1	1.0000	0.010	70.147	61.156	15
HG00181	WUGSC	4603.40	105	10	1.0000	0.097	130.484	113.465	11
HG00182	WUGSC	9915.67	105	6	0.9897	0.060	138.408	122.264	19
HG00183	WUGSC	9696.23	105	4	0.9898	0.039	132.013	116.129	18
HG00185	WUGSC	8760.71	105	1	0.9995	0.011	134.739	119.330	18
HG00186	WUGSC	7675.64	105	7	1.0000	0.067	120.110	104.063	17
HG00187	WUGSC	13306.56	105	5	1.0000	0.059	126.381	111.864	18
HG00188	WUGSC	1106.69	105	30	0.9317	0.300	126.845	113.000	10
HG00189	WUGSC	7156.62	105	4	0.9992	0.040	120.239	106.347	17
HG00190	WUGSC	11926.57	105	1	0.9901	0.010	124.469	109.000	17
HG00231	BCM	13015.34	106	0	0.9906	0.000	89.091	78.000	20
HG00232	BGI	22389.34	100	0	0.9974	0.000	176.509	159.568	18
HG00233	WUGSC	16998.29	105	0	1.0000	0.004	124.595	109.000	17
HG00234	BCM	2897.32	106	12	0.9888	0.121	73.753	64.000	11
HG00235	BCM	5996.80	106	3	0.9879	0.031	63.589	55.714	14
HG00236	BGI	15000.35	100	1	0.9994	0.012	179.339	160.163	17
HG00237	BGI	20590.76	100	0	1.0000	0.000	150.741	134.000	14
HG00238	WUGSC	12830.39	105	1	1.0000	0.010	128.939	113.000	18
HG00239	BI	1868.56	105	9	0.9677	0.100	133.111	113.102	7
HG00240	WUGSC	14522.17	105	2	0.9933	0.021	116.326	101.087	16
HG00242	BI	8068.51	105	0	0.9902	0.001	167.180	142.774	12
HG00243	BI	2193.32	105	12	0.9228	0.132	165.193	139.000	10
HG00244	BI	9955.43	105	1	0.9804	0.010	162.004	138.904	20
HG00245	BI	4680.91	105	4	0.9592	0.039	160.830	138.843	5
HG00246	BGI	15462.53	100	0	0.9989	0.005	173.037	155.472	16
HG00250	BGI	27073.31	100	2	0.9958	0.020	134.810	121.000	14
HG00251	BGI	21438.48	100	1	0.9961	0.012	168.648	152.157	18
HG00252	BGI	14822.68	100	0	1.0000	0.001	235.700	209.032	20
HG00253	BGI	19161.32	100	2	0.9989	0.021	140.051	125.526	13
HG00254	BGI	22072.68	100	0	0.9960	0.000	184.854	165.677	17
HG00255	BI	11716.94	105	5	0.9898	0.051	116.125	97.674	15
HG00256	BGI	12113.04	100	1	1.0000	0.018	165.156	147.907	15
