gene_type	gene	refcn	num_exon	num_samples	is_ref	is_nonref	nocall_rate	comb_acc_f1	ref_acc_f1	nref_acc_f1	comb_acc_f2	ref_acc_f2	nref_acc_f2
type_1	AQP12A	4	3	506	504	2	0.1698	1.0000	1.0000	1.0000	0.9881	0.9920	0.0000
type_1	BOLA2	4	2	506	506	0	NA	NA	NA	NA	NA	NA	NA
type_1	C4A	4	41	506	286	220	0.0041	0.9680	0.9847	0.9482	NA	NA	NA
type_1	CFC1	4	6	506	506	0	0.0166	0.9992	0.9992	NA	NA	NA	NA
type_1	CHRNA7	4	6	506	413	93	0.0072	1.0000	1.0000	1.0000	0.7541	0.9211	0.0368
type_1	CLEC18A	6	12	506	57	449	0.2157	0.1648	0.4000	0.1583	0.0340	0.4259	0.0214
type_1	CTRB1	4	5	506	506	0	0.1036	0.9849	0.9849	NA	0.9689	0.9689	NA
type_1	DEFA1	6	2	506	506	0	NA	NA	NA	NA	NA	NA	NA
type_1	DEFB103A	4	2	506	380	126	0.0476	1.0000	1.0000	1.0000	NA	NA	NA
type_1	DEFB104A	4	2	506	215	291	0.1148	0.9929	0.9943	0.9920	0.3936	0.9618	0.0107
type_1	DEFB105A	4	3	506	252	254	0.0831	0.9948	0.9935	0.9957	0.3669	0.9869	0.0076
type_1	DEFB106A	4	2	506	235	271	0.1187	1.0000	1.0000	1.0000	0.4084	0.9538	0.0286
type_1	DEFB107A	4	2	337	177	160	0.1406	0.9463	0.9444	0.9478	NA	NA	NA
type_1	DEFB4A	4	2	506	371	135	0.1255	0.9829	0.9915	0.9744	0.5176	1.0000	0.0000
type_1	EIF3C	4	20	506	406	100	0.0039	0.9997	0.9996	1.0000	0.7716	0.9519	0.0559
type_1	FCGR1A	6	6	506	392	114	0.0152	0.9895	0.9862	1.0000	0.0030	0.0030	0.0028
type_1	GPR89A	4	14	506	505	1	0.0000	1.0000	1.0000	1.0000	0.9963	0.9963	1.0000
type_1	GRAP	4	3	506	390	116	0.1159	1.0000	1.0000	1.0000	NA	NA	NA
type_1	GTF2H2	6	15	506	108	398	0.0573	0.9395	0.8940	0.9492	0.1890	0.2000	0.1867
