Population	gene	refcn	num_exon	num_samples	is_ref	nocall_rate	Comb_conc	Ref_conc	Nonref_conc
AFR	ACOT1	4	3	685	323	0.013	0.9951	0.9960	0.9944
AFR	ACSM2A	4	12	685	684	0.002	0.9999	1.0000	0.9167
AFR	ACSM5	4	11	685	685	0.006	1.0000	1.0000	NA
AFR	ACTR3B	4	8	685	685	0.000	1.0000	1.0000	NA
AFR	AKR1B10	4	4	685	685	0.018	1.0000	1.0000	NA
AFR	AKR1C1	4	7	685	683	0.016	0.9997	1.0000	0.9000
AFR	AKR7A3	4	3	685	647	0.051	0.9994	1.0000	0.9907
AFR	ALPP	4	7	685	239	0.014	0.8923	0.9947	0.8482
AFR	ANXA8_refcn4	4	11	685	562	0.011	0.9847	0.9869	0.9752
AFR	AQP12A	4	3	685	684	0.087	0.9983	0.9983	1.0000
AFR	ATAD3A_refcn4	4	10	685	676	0.030	0.9572	0.9579	0.9074
AFR	BMP8A	4	5	685	685	0.009	1.0000	1.0000	NA
AFR	C1QTNF9	4	2	685	684	0.034	1.0000	1.0000	1.0000
AFR	C4A	4	41	685	379	0.005	0.9712	0.9829	0.9584
AFR	CATSPER2	4	12	685	653	0.004	0.9978	1.0000	0.9557
AFR	CCDC74A	4	8	685	681	0.008	0.9984	0.9984	1.0000
AFR	CD8B	4	5	685	683	0.082	1.0000	1.0000	1.0000
AFR	CDK11A	4	16	685	629	0.059	0.9969	0.9970	0.9963
AFR	CDRT1	4	13	685	682	0.001	0.9999	1.0000	0.9722
AFR	CEL	4	5	685	673	0.069	0.9963	0.9983	0.8909
AFR	CELA3A	4	7	685	593	0.002	0.9985	1.0000	0.9892
AFR	CEP170_refcn4	4	15	685	682	0.055	1.0000	1.0000	1.0000
AFR	CFC1	4	6	685	685	0.032	0.9981	0.9981	NA
AFR	CHRNA7	4	6	685	483	0.006	0.9953	0.9942	0.9975
AFR	CKMT1A	4	9	685	654	0.002	1.0000	1.0000	1.0000
AFR	CLEC18A	6	12	685	190	0.112	0.8847	0.9130	0.8775
AFR	CSH1_refcn4	4	2	685	684	0.141	0.9844	0.9843	1.0000
AFR	CSH1_refcn6	6	3	685	456	0.132	0.8211	0.9728	0.5700
AFR	CTRB1	4	5	685	685	0.052	0.9476	0.9476	NA
AFR	CYP11B1	4	6	685	685	0.019	1.0000	1.0000	NA
AFR	CYP21A2	4	10	685	462	0.041	0.9900	0.9897	0.9906
AFR	CYP2D6	4	9	685	529	0.076	0.9744	0.9888	0.9275
AFR	CYP2F1	4	5	685	685	0.020	1.0000	1.0000	NA
AFR	CYP4A11	4	11	685	684	0.004	1.0000	1.0000	1.0000
AFR	CYP4Z1	4	8	685	683	0.005	1.0000	1.0000	1.0000
AFR	DDT	4	2	685	555	0.188	0.8125	0.8235	0.8073
AFR	DDX11_refcn6	6	25	685	682	0.008	0.9985	1.0000	0.5385
AFR	DEFB103A	4	2	685	684	0.000	1.0000	NA	1.0000
AFR	DEFB104A	4	2	685	258	0.159	0.7214	0.7733	0.6960
AFR	DEFB105A	4	3	685	433	0.071	0.8796	0.9067	0.8621
AFR	DEFB106A	4	2	685	332	0.129	0.7140	0.7500	0.6926
AFR	DEFB107A	4	2	685	443	0.181	0.8186	0.7961	0.8369
AFR	DEFB4A	4	2	685	628	0.115	0.8316	0.7073	0.9259
AFR	DHX40	4	11	685	682	0.004	1.0000	1.0000	1.0000
AFR	EIF3C	4	20	685	612	0.003	0.9976	0.9972	1.0000
AFR	EMB_refcn4	4	6	685	685	0.022	1.0000	1.0000	NA
