Prop	CNV Event	Precision	Recall	Comb_Conc	Ref_Conc	Nonref_Conc
0.01	Deletion -2	1.0000	1.0000	0.9996	0.9998	0.9808
0.05	Deletion -2	1.0000	1.0000	0.9996	0.9998	0.9955
0.10	Deletion -2	1.0000	1.0000	0.9995	0.9998	0.9975
0.15	Deletion -2	1.0000	1.0000	0.9996	0.9998	0.9983
0.20	Deletion -2	1.0000	0.9999	0.9995	0.9997	0.9985
0.01	Deletion -1	1.0000	0.9992	0.9994	0.9997	0.9794
0.05	Deletion -1	0.9997	0.9998	0.9991	0.9993	0.9951
0.10	Deletion -1	0.9998	0.9997	0.9989	0.9991	0.9972
0.15	Deletion -1	0.9998	0.9997	0.9985	0.9988	0.9974
0.20	Deletion -1	0.9998	0.9996	0.9986	0.9988	0.9978
0.01	Duplication +2	0.9992	0.9995	0.9996	0.9998	0.9773
0.05	Duplication +2	1.0000	0.9995	0.9995	0.9998	0.9939
0.10	Duplication +2	0.9999	0.9993	0.9995	0.9998	0.9967
0.15	Duplication +2	1.0000	0.9989	0.9994	0.9999	0.9968
0.20	Duplication +2	1.0000	0.9991	0.9994	0.9998	0.9974
0.01	Duplication +1	0.9992	0.9993	0.9993	0.9996	0.9767
0.05	Duplication +1	0.9997	0.9984	0.9990	0.9994	0.9916
0.10	Duplication +1	0.9994	0.9980	0.9987	0.9993	0.9934
0.15	Duplication +1	0.9999	0.9974	0.9981	0.9986	0.9946
0.20	Duplication +1	0.9995	0.9970	0.9975	0.9981	0.9950
